# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	117005
#@/user_id	659ce483-6874-4023-8d26-0ead44d09818
a 	啊	c=626 d=2.12741 t=116984
an mo 	按摩	c=3 d=6.03814e-08 t=116978
an mo tie 	按摩貼	c=1 d=6.0684e-07 t=116978
an niu 	按鈕	c=2 d=0.00421123 t=116978
an pai 	安排	c=42 d=0.00178203 t=116978
an quan 	安全	c=17 d=2.51525 t=116978
an quan chui 	安全鎚	c=1 d=3.28575e-54 t=116978
an wei 	安慰	c=1 d=1.11948e-63 t=116978
an wei 	按位	c=3 d=2.79955e-23 t=116978
an wei ren 	安慰人	c=1 d=1.29941e-140 t=116978
an xi 	安溪	c=2 d=1.0388e-36 t=116978
an xin 	安心	c=2 d=4.15207e-13 t=116978
an yi xia 	按一下	c=1 d=7.71027e-30 t=116978
an ying 	暗影	c=2 d=5.50138e-51 t=116978
an zai 	按在	c=1 d=0.00337959 t=116978
an zhao 	按照	c=29 d=2.39319e-13 t=116978
an zhao wo 	按照我	c=1 d=4.18114e-95 t=116978
an zhe 	按着	c=1 d=2.85756e-29 t=116978
an zhuang 	安裝	c=24 d=0.394554 t=116978
an zhuo 	安卓	c=4 d=4.0369e-35 t=116978
ang 	昂	c=34 d=0.578413 t=116978
ang a 	昂啊	c=2 d=9.67744e-27 t=116978
ang gui 	昂貴	c=3 d=5.31669e-10 t=116978
ang si 	盎司	c=0 d=9.95158e-180 t=116978
ang yang 	昂揚	c=1 d=2.89288e-144 t=116978
ao 	奧	c=5 d=0.000648601 t=116978
ao ao 	嗷嗷	c=45 d=0.51434 t=116978
ao da 	奥大	c=1 d=2.61704e-24 t=116978
ao da li ya 	澳大利亞	c=3 d=3.71804e-24 t=116978
ao yun hui 	奧運會	c=2 d=1.15278e-55 t=116978
ao zhou 	澳洲	c=1 d=1.25488e-24 t=116978
b l b l 	bilibili	c=2 d=5.1869e-182 t=116978
b l b l 	哔哩哔哩	c=1 d=2.57407e-182 t=116978
ba 	八	c=2 d=1.48358e-23 t=116978
ba 	叭	c=1 d=1.80831e-175 t=116978
ba 	吧	c=629 d=1.3913 t=116978
ba 	巴	c=4 d=6.20827e-50 t=116978
ba 	把	c=184 d=0.00649706 t=116978
ba 	爸	c=18 d=0.00343067 t=116978
ba 	霸	c=2 d=1.20204e-39 t=116978
ba ba 	巴巴	c=3 d=3.17338e-27 t=116978
ba ba 	爸爸	c=83 d=3.04428e-09 t=116978
ba ba ma ma 	爸爸媽媽	c=6 d=3.243e-47 t=116978
ba ben 	把本	c=1 d=1.74972e-23 t=116978
ba chang 	靶場	c=3 d=5.48453e-29 t=116978
ba chu lai 	拔出來	c=2 d=0.0383178 t=116978
ba dian 	八點	c=2 d=0.0258615 t=116978
ba gan zi 	八杆子	c=1 d=2.36922e-177 t=116978
ba kong 	把控	c=2 d=2.93404e-18 t=116978
ba kong 	靶孔	c=1 d=9.08725e-22 t=116978
ba le 	罷了	c=0 d=1.94172e-43 t=116978
ba ma 	爸媽	c=10 d=4.10796e-05 t=116978
ba ni 	把你	c=9 d=1.49342e-10 t=116978
ba ni men 	把你們	c=1 d=1.77853e-68 t=116978
ba se lin e 	八色臨猗	c=1 d=1.97274e-52 t=116978
ba shi 	巴士	c=0 d=3.70164e-16 t=116978
ba ta 	把它	c=2 d=1.90846e-74 t=116978
ba ta men 	把他們	c=1 d=9.06137e-106 t=116978
ba wang long 	霸王龍	c=1 d=1.36459e-10 t=116978
ba wo 	把我	c=4 d=3.62526e-05 t=116978
ba wo 	把握	c=1 d=9.1328e-22 t=116978
ba wo men 	把我們	c=2 d=6.63489e-75 t=116978
ba zi ji 	把自己	c=1 d=2.86312e-140 t=116978
bai 	掰	c=1 d=5.39984e-163 t=116978
bai 	擺	c=2 d=1.20021e-109 t=116978
bai 	白	c=15 d=0.612626 t=116978
bai 	百	c=3 d=5.74561e-11 t=116978
bai bai 	白白	c=4 d=1.56853e-31 t=116978
bai ban 	白板	c=1 d=3.65014e-56 t=116978
bai chi 	白癡	c=0 d=2.68009e-11 t=116978
bai du 	擺渡	c=1 d=1.01616e-159 t=116978
bai du 	百度	c=16 d=7.43542e-07 t=116978
bai du che 	摆渡车	c=1 d=6.57724e-160 t=116978
bai du sou suo 	百度搜索	c=1 d=7.65337e-178 t=116978
bai du yun 	百度雲	c=4 d=2.3031e-50 t=116978
bai fei 	白費	c=1 d=1.94701e-74 t=116978
bai fen bi 	百分比	c=1 d=3.94071e-16 t=116978
bai fen dian 	百分點	c=1 d=6.02914e-107 t=116978
bai gei 	敗給	c=1 d=0.0309618 t=116978
bai hua qi fang 	百花齊放	c=2 d=2.30302e-130 t=116978
bai hui 	百匯	c=0 d=0.0018043 t=116978
bai hui hong ling 	百匯紅嶺	c=1 d=0.0181334 t=116978
bai jiu 	白酒	c=1 d=3.29829e-40 t=116978
bai kai shui 	白開水	c=1 d=1.73763e-59 t=116978
bai ling 	白領	c=1 d=1.41536e-28 t=116978
bai ling niao 	百靈鳥	c=1 d=4.09778e-64 t=116978
bai mang zhi zhong 	百忙之中	c=2 d=3.56646e-136 t=116978
bai miao 	白描	c=4 d=7.57078e-168 t=116978
bai ming 	百名	c=1 d=3.89739e-33 t=116978
bai ming dan 	白名單	c=1 d=3.50892e-33 t=116978
bai ni keng 	白泥坑	c=1 d=2.06565e-64 t=116978
bai nian 	百年	c=3 d=1.12173e-116 t=116978
bai nian wei you 	百年未有	c=1 d=2.01343e-145 t=116978
bai ri meng 	白日夢	c=2 d=4.1249e-24 t=116978
bai se 	白色	c=2 d=1.26569e-66 t=116978
bai shi zhou 	白石洲	c=1 d=4.07708e-122 t=116978
bai shuo 	白說	c=1 d=1.65002e-68 t=116978
bai tian 	白天	c=2 d=1.28551e-43 t=116978
bai tian xing cheng 	白天行程	c=1 d=2.14659e-75 t=116978
bai wan 	百萬	c=2 d=1.2488e-55 t=116978
bai xian 	白線	c=1 d=2.70602e-35 t=116978
bai yi tian shi 	白衣天使	c=1 d=3.07992e-87 t=116978
bai zao yin 	白噪音	c=4 d=1.85573e-167 t=116978
bai zuo 	白做	c=1 d=1.43748e-34 t=116978
ban 	伴	c=3 d=1.69168e-127 t=116978
ban 	半	c=19 d=0.0280795 t=116978
ban 	搬	c=18 d=8.78544e-07 t=116978
ban 	板	c=2 d=4.9931e-121 t=116978
ban 	版	c=1 d=0.0782705 t=116978
ban 	班	c=21 d=0.000773179 t=116978
ban 	辦	c=30 d=0.810609 t=116978
ban ben 	版本	c=43 d=5.87076e-05 t=116978
ban che 	班車	c=7 d=1.57389e-53 t=116978
ban che shang 	班車上	c=1 d=2.92881e-54 t=116978
ban chu 	搬出	c=1 d=1.01923e-77 t=116978
ban chu lai 	搬出來	c=1 d=2.97206e-50 t=116978
ban chu qu 	搬出去	c=3 d=5.59119e-14 t=116978
ban ci 	班次	c=1 d=3.76206e-29 t=116978
ban dao 	搬到	c=1 d=7.25238e-45 t=116978
ban dao ti 	半導體	c=1 d=3.21753e-160 t=116978
ban dian 	搬點	c=1 d=9.90427e-123 t=116978
ban dong 	搬動	c=1 d=7.67598e-07 t=116978
ban dong xi 	搬東西	c=1 d=9.45366e-134 t=116978
ban fa 	辦法	c=20 d=0.00276698 t=116978
ban ge 	半個	c=3 d=3.66146e-63 t=116978
ban ge yue 	半個月	c=4 d=0.0017555 t=116978
ban gong 	辦公	c=11 d=0.000211772 t=116978
ban gong hui yi 	辦公會議	c=1 d=3.33598e-56 t=116978
ban gong shi 	辦公室	c=2 d=0.00319873 t=116978
ban gong si 	辦公司	c=1 d=1.34034e-05 t=116978
ban gong yi 	办公台	c=1 d=8.47784e-117 t=116978
ban gong yi 	办公椅	c=2 d=3.2031e-116 t=116978
ban guo 	辦過	c=1 d=4.74446e-82 t=116978
ban guo qu 	搬過去	c=2 d=5.31962e-134 t=116978
ban guo qu 	辦過去	c=3 d=5.29309e-134 t=116978
ban jia 	搬家	c=6 d=1.33112e-12 t=116978
ban jian du 	辦監督	c=3 d=7.60607e-17 t=116978
ban jie 	辦結	c=1 d=8.37779e-95 t=116978
ban jin 	搬進	c=0 d=2.14221e-52 t=116978
ban jin qu 	搬進去	c=2 d=4.32754e-51 t=116978
ban jing 	半徑	c=1 d=1.25968e-157 t=116978
ban ka 	辦卡	c=3 d=0.0761031 t=116978
ban le 	搬了	c=1 d=2.08103e-63 t=116978
ban li 	辦理	c=45 d=2.12277e-32 t=116978
ban lv 	伴侶	c=1 d=2.64919e-50 t=116978
ban mian 	版面	c=1 d=1.68719e-36 t=116978
ban na 	版納	c=2 d=3.51193e-75 t=116978
ban nian 	半年	c=12 d=0.075774 t=116978
ban shang 	板上	c=0 d=1.72573e-38 t=116978
ban sui 	伴隨	c=1 d=3.48181e-30 t=116978
ban tian 	半天	c=2 d=0.0113334 t=116978
ban wo 	伴我	c=2 d=2.29945e-111 t=116978
ban wo tong xing 	伴我同行	c=1 d=1.12969e-111 t=116978
ban xiao shi 	半小時	c=4 d=4.78415e-33 t=116978
ban ye 	半夜	c=1 d=7.04306e-24 t=116978
ban ye 	半頁	c=1 d=1.41632e-36 t=116978
ban yuan 	半圓	c=1 d=1.2829e-166 t=116978
ban yun 	搬運	c=1 d=3.8244e-134 t=116978
ban zhang 	班長	c=1 d=1.14241e-125 t=116978
ban zhou 	半軸	c=1 d=1.84168e-08 t=116978
ban zou 	伴奏	c=14 d=5.409e-36 t=116978
ban zou 	搬走	c=1 d=1.26341e-133 t=116978
bang 	幫	c=12 d=0.0262827 t=116978
bang 	棒	c=13 d=4.222e-33 t=116978
bang 	磅	c=28 d=8.3109e-17 t=116978
bang bang 	幫幫	c=2 d=1.23112e-05 t=116978
bang bang 	棒棒	c=4 d=1.23729e-05 t=116978
bang bing 	棒冰	c=1 d=0.00171216 t=116978
bang dai 	棒呆	c=1 d=1.05428e-63 t=116978
bang dan 	榜單	c=5 d=0.154927 t=116978
bang ding 	綁定	c=12 d=0.354964 t=116978
bang mang 	幫忙	c=22 d=0.00941925 t=116978
bang ni 	幫你	c=28 d=0.0227969 t=116978
bang ni men 	幫你們	c=4 d=5.53537e-43 t=116978
bang ta 	幫他	c=2 d=2.03027e-96 t=116978
bang wan 	傍晚	c=2 d=1.55805e-11 t=116978
bang wo 	幫我	c=52 d=0.00153776 t=116978
bang wo men 	幫我們	c=3 d=1.14512e-06 t=116978
bang yang 	榜樣	c=1 d=4.45862e-145 t=116978
bang zhu 	幫助	c=17 d=0.197899 t=116978
bang zhu wo 	幫助我	c=1 d=2.33353e-28 t=116978
bao 	保	c=5 d=9.59747e-47 t=116978
bao 	包	c=10 d=0.000756434 t=116978
bao 	報	c=17 d=8.35931e-60 t=116978
bao 	暴	c=2 d=1.53533e-44 t=116978
bao 	爆	c=3 d=9.69032e-31 t=116978
bao an 	寶安	c=4 d=1.71716 t=116978
bao bao 	包包	c=3 d=0.000901191 t=116978
bao bao 	寶寶	c=9 d=6.10194e-13 t=116978
bao bao 	抱抱	c=4 d=7.15572e-53 t=116978
bao bei 	報備	c=6 d=1.91255e-11 t=116978
bao chi 	保持	c=10 d=0.145148 t=116978
bao chi yi ge 	保持一個	c=1 d=2.33187e-49 t=116978
bao cun 	保存	c=18 d=0.00565667 t=116978
bao cun xia lai 	保存下來	c=1 d=6.77705e-71 t=116978
bao cun zai 	保存在	c=1 d=1.01405e-164 t=116978
bao dao 	報到	c=1 d=3.41799e-77 t=116978
bao dao 	報道	c=1 d=5.22262e-94 t=116978
bao dao zheng 	報到證	c=19 d=2.5386e-66 t=116978
bao di 	保底	c=2 d=8.11592e-05 t=116978
bao fu 	包袱	c=2 d=7.67467e-05 t=116978
bao gao 	報告	c=11 d=1.14836e-05 t=116978
bao gao de 	報告的	c=1 d=3.6723e-39 t=116978
bao gui 	寶貴	c=3 d=3.95469e-87 t=116978
bao gui cai fu 	寶貴財富	c=1 d=2.84497e-124 t=116978
bao gui de 	寶貴的	c=1 d=3.15768e-145 t=116978
bao han 	包含	c=38 d=0.000322016 t=116978
bao han you 	包含有	c=6 d=0.000185029 t=116978
bao han zai 	包含在	c=1 d=6.91653e-46 t=116978
bao he 	飽和	c=1 d=2.11068e-53 t=116978
bao hu 	保護	c=3 d=5.16388e-58 t=116978
bao hu zhe 	保護者	c=0 d=3.27037e-88 t=116978
bao hu zhe de 	保護者的	c=1 d=3.28676e-87 t=116978
bao jia 	報價	c=1 d=2.59682e-21 t=116978
bao jing 	報警	c=1 d=2.84827e-167 t=116978
bao kuo 	包括	c=30 d=0.209199 t=116978
bao li 	保利	c=2 d=9.65214e-55 t=116978
bao li 	暴力	c=1 d=1.67786e-59 t=116978
bao liu 	保留	c=31 d=0.355226 t=116978
bao liu zhe 	保留着	c=1 d=1.17571e-22 t=116978
bao lu 	報錄	c=1 d=2.59268e-61 t=116978
bao lu 	暴露	c=1 d=3.99891e-12 t=116978
bao mi 	保密	c=2 d=2.01437e-33 t=116978
bao mi hua 	爆米花	c=2 d=0.00162053 t=116978
bao ming 	報名	c=7 d=4.98804e-24 t=116978
bao ming ren shu 	報名人數	c=1 d=5.1185e-63 t=116978
bao ming shi jian 	報名時間	c=1 d=3.55445e-67 t=116978
bao qian 	抱歉	c=17 d=0.142898 t=116978
bao qian da rao nin 	抱歉打擾您	c=1 d=3.07478e-38 t=116978
bao quan 	保全	c=1 d=5.08501e-74 t=116978
bao rong 	包容	c=2 d=4.49905e-87 t=116978
bao shang 	報上	c=0 d=5.74273e-153 t=116978
bao shang ming lai 	報上名來	c=1 d=5.77151e-152 t=116978
bao shou 	保守	c=1 d=8.1968e-44 t=116978
bao tian 	暴殄	c=1 d=2.36429e-35 t=116978
bao xian 	保險	c=8 d=3.94566e-23 t=116978
bao xian qi jian 	保险期间	c=1 d=1.94847e-24 t=116978
bao xiao 	報銷	c=23 d=0.00698616 t=116978
bao xue 	暴雪	c=2 d=3.88126e-06 t=116978
bao yang 	保養	c=0 d=6.1929e-41 t=116978
bao yang 	包養	c=2 d=6.25514e-40 t=116978
bao yang wo 	保養我	c=2 d=6.22394e-40 t=116978
bao ying 	報應	c=1 d=2.40583e-34 t=116978
bao you 	抱有	c=1 d=2.34635e-63 t=116978
bao yu 	暴雨	c=1 d=1.19803e-08 t=116978
bao yuan 	抱怨	c=2 d=1.29265e-12 t=116978
bao zai 	包在	c=1 d=3.18701e-48 t=116978
bao zha 	爆炸	c=4 d=7.13711e-33 t=116978
bao zhang 	保障	c=7 d=1.59644e-31 t=116978
bao zheng 	保證	c=18 d=0.000210716 t=116978
bao zhuang 	包裝	c=2 d=1.03291e-28 t=116978
bao zou 	暴走	c=2 d=2.78274e-62 t=116978
bei 	倍	c=4 d=8.15932e-11 t=116978
bei 	備	c=1 d=7.28276e-06 t=116978
bei 	北	c=11 d=8.27522e-09 t=116978
bei 	唄	c=10 d=5.18366e-06 t=116978
bei 	盃	c=1 d=5.49021e-123 t=116978
bei 	碑	c=1 d=3.48125e-175 t=116978
bei 	背	c=3 d=9.39704e-11 t=116978
bei 	被	c=122 d=0.751153 t=116978
bei an 	備案	c=2 d=5.43928e-182 t=116978
bei bao 	背包	c=1 d=5.88047e-78 t=116978
bei can shi jie 	悲慘世界	c=1 d=0.412714 t=116978
bei cong zhong lai 	悲從中來	c=2 d=5.96717e-05 t=116978
bei da 	北大	c=49 d=4.62447e-16 t=116978
bei da ren 	北大人	c=1 d=1.06242e-124 t=116978
bei fang 	北方	c=1 d=4.29603e-61 t=116978
bei fen 	備份	c=2 d=1.3461e-26 t=116978
bei feng 	被風	c=1 d=3.97304e-112 t=116978
bei gan 	倍感	c=0 d=1.14299e-132 t=116978
bei gan wen xin 	倍感溫馨	c=1 d=1.14872e-131 t=116978
bei hou 	背後	c=2 d=2.51143e-10 t=116978
bei huan 	北环	c=4 d=9.40717e-154 t=116978
bei ji xiong 	北極熊	c=2 d=2.20718e-41 t=116978
bei jian suo 	被檢索	c=1 d=2.09353e-104 t=116978
bei jing 	北京	c=46 d=1.326e-05 t=116978
bei jing 	背景	c=32 d=0.20089 t=116978
bei jing da xue 	北京大學	c=60 d=0.00180818 t=116978
bei jing qu yu 	北京區域	c=1 d=1.34121e-42 t=116978
bei jing sheng wu 	北京生物	c=2 d=9.85588e-116 t=116978
bei jing shi 	北京市	c=2 d=1.68742e-67 t=116978
bei jing shi jian 	北京時間	c=1 d=1.82778e-154 t=116978
bei jing xia 	背景下	c=1 d=5.7666e-142 t=116978
bei ke 	貝殼	c=5 d=6.88321e-48 t=116978
bei mian 	背面	c=1 d=5.06929e-67 t=116978
bei ni 	被你	c=8 d=1.59421e-42 t=116978
bei ni men 	被你們	c=1 d=5.47954e-12 t=116978
bei ou 	北歐	c=0 d=3.77835e-22 t=116978
bei ou ni ding 	北歐擬定	c=1 d=3.79729e-21 t=116978
bei pian 	被騙	c=1 d=4.40492e-32 t=116978
bei shang 	北上	c=0 d=1.51758e-114 t=116978
bei shang guang shen 	北上廣深	c=1 d=1.52518e-113 t=116978
bei sheng 	北生	c=1 d=4.52615e-116 t=116978
bei shi da 	北師大	c=1 d=1.29104e-64 t=116978
bei shu 	倍數	c=1 d=6.29251e-110 t=116978
bei si 	倍思	c=3 d=9.41122e-65 t=116978
bei ta 	被他	c=1 d=1.44048e-176 t=116978
bei wang lu 	備忘錄	c=1 d=2.01061e-11 t=116978
bei wo 	被我	c=4 d=0.000547581 t=116978
bei wo men 	被我們	c=1 d=3.16724e-63 t=116978
bei xia lai 	被下來	c=1 d=4.00776e-38 t=116978
bei xuan 	備選	c=2 d=1.22494e-34 t=116978
bei xuan zhong 	被選中	c=1 d=6.49319e-97 t=116978
bei yi 	北醫	c=3 d=1.54834e-132 t=116978
bei ying 	背影	c=1 d=2.45936e-87 t=116978
bei zhi qiang 	被志強	c=1 d=1.39504e-05 t=116978
bei zhu 	備註	c=6 d=3.33381e-19 t=116978
bei zi 	被子	c=2 d=1.77919e-43 t=116978
bei zi 	輩子	c=2 d=1.77032e-43 t=116978
ben 	本	c=24 d=0.811897 t=116978
ben 	笨	c=2 d=4.50616e-64 t=116978
ben a li 	本啊裏	c=1 d=9.4862e-145 t=116978
ben bu 	本部	c=6 d=2.86119e-67 t=116978
ben chi 	奔馳	c=1 d=3.06423e-27 t=116978
ben da 	体大	c=1 d=3.82205e-68 t=116978
ben di 	本地	c=4 d=2.61028e-23 t=116978
ben dui 	本對	c=0 d=4.50832e-100 t=116978
ben ji 	本機	c=3 d=1.16932e-92 t=116978
ben jie 	本節	c=9 d=0.000285751 t=116978
ben jin 	本金	c=2 d=2.21663e-41 t=116978
ben ke 	本科	c=3 d=1.88267e-61 t=116978
ben ke de 	本科的	c=1 d=1.06906e-109 t=116978
ben ke sheng 	本科生	c=3 d=2.17769e-09 t=116978
ben lai 	本來	c=24 d=0.00199922 t=116978
ben lai xiang 	本來想	c=1 d=2.66856e-165 t=116978
ben lun 	本輪	c=1 d=2.20851e-86 t=116978
ben ren 	本人	c=11 d=1.70851e-05 t=116978
ben shen 	本身	c=11 d=1.66037e-24 t=116978
ben suan 	本算	c=1 d=9.26609e-16 t=116978
ben ti 	本體	c=1 d=4.37536e-41 t=116978
ben wen 	本文	c=83 d=1.25751e-09 t=116978
ben yan jiu 	本研究	c=6 d=5.56489e-101 t=116978
ben ye mian 	本頁面	c=1 d=1.3587e-18 t=116978
ben zhang 	本章	c=22 d=1.42274e-15 t=116978
ben zhang jie 	本章節	c=2 d=5.78837e-10 t=116978
ben zhang jie zhong 	本章節中	c=1 d=6.11238e-180 t=116978
ben zhang zhong 	本章中	c=1 d=8.62999e-91 t=116978
ben zhe 	奔着	c=1 d=0.00029902 t=116978
ben zhi 	本質	c=9 d=4.79367e-18 t=116978
ben zhi shang 	本質上	c=2 d=1.52347e-41 t=116978
ben zhou 	本週	c=2 d=0.00427631 t=116978
ben zi 	本子	c=1 d=3.92189e-136 t=116978
beng 	崩	c=1 d=2.19511e-132 t=116978
beng di 	蹦迪	c=1 d=7.93106e-68 t=116978
beng kui 	崩潰	c=2 d=6.20727e-126 t=116978
beng pan 	崩盤	c=1 d=8.81782e-109 t=116978
bi 	嗶	c=1 d=6.19099e-07 t=116978
bi 	幣	c=18 d=2.98299e-05 t=116978
bi 	必	c=6 d=0.65377 t=116978
bi 	比	c=64 d=0.00379148 t=116978
bi 	畢	c=1 d=2.6439e-144 t=116978
bi 	筆	c=5 d=3.89556e-36 t=116978
bi 	逼	c=5 d=1.06817e-31 t=116978
bi bu chu lai 	比不出來	c=1 d=0.000231716 t=116978
bi bu guo 	比不過	c=1 d=1.14279e-129 t=116978
bi bu ke neng 	比不可能	c=1 d=5.34243e-08 t=116978
bi ci 	彼此	c=2 d=5.04777e-17 t=116978
bi da 	必答	c=1 d=1.65682e-87 t=116978
bi ding 	必定	c=3 d=5.59122e-43 t=116978
bi gai 	筆蓋	c=1 d=2.61536e-134 t=116978
bi ji 	筆記	c=1 d=1.7527e-43 t=116978
bi ji ben 	筆記本	c=12 d=3.27225e-35 t=116978
bi jiao 	比較	c=153 d=0.757497 t=116978
bi jiao di 	比較低	c=1 d=5.68826e-40 t=116978
bi jiao duo 	比較多	c=2 d=1.6983e-25 t=116978
bi jiao hao 	比較好	c=4 d=1.28002e-22 t=116978
bi jiao man 	比較慢	c=1 d=9.42887e-15 t=116978
bi jiao shao 	比較少	c=1 d=4.05162e-19 t=116978
bi jing 	畢竟	c=18 d=0.106492 t=116978
bi kai 	避開	c=1 d=2.07065e-63 t=116978
bi keng 	闭坑	c=1 d=0.506617 t=116978
bi lei 	避雷	c=1 d=1.44273e-165 t=116978
bi li 	比例	c=7 d=7.03347e-08 t=116978
bi lv 	比率	c=2 d=3.5803e-64 t=116978
bi mian 	避免	c=2 d=1.19885e-17 t=116978
bi mian ni 	避免你	c=1 d=1.20486e-16 t=116978
bi ni 	比你	c=5 d=9.64722e-49 t=116978
bi ni 	逼你	c=1 d=2.94599e-64 t=116978
bi ni men 	比你們	c=3 d=7.10089e-22 t=116978
bi ran 	必然	c=2 d=4.62102e-66 t=116978
bi ru 	比如	c=16 d=0.00241755 t=116978
bi ru shuo 	比如說	c=10 d=0.000858778 t=116978
bi sai 	比賽	c=10 d=5.30614e-56 t=116978
bi shi 	筆試	c=3 d=1.26293e-11 t=116978
bi shu 	筆數	c=1 d=1.05052e-21 t=116978
bi te 	比特	c=6 d=2.70142e-15 t=116978
bi te bi 	比特幣	c=5 d=4.99178e-21 t=116978
bi wo 	比我	c=5 d=4.43605e-56 t=116978
bi wo 	逼我	c=1 d=1.08891e-149 t=116978
bi wo men 	比我們	c=2 d=1.02014e-58 t=116978
bi xin 	比心	c=11 d=1.16925e-16 t=116978
bi xin 	筆芯	c=1 d=2.31181e-65 t=116978
bi xiu 	必修	c=5 d=4.94009e-28 t=116978
bi xu 	必須	c=11 d=0.017163 t=116978
bi xu yao 	必須要	c=2 d=1.73615e-49 t=116978
bi yao 	必要	c=8 d=1.9119e-07 t=116978
bi yao xing 	必要性	c=1 d=2.65018e-25 t=116978
bi ye 	畢業	c=76 d=0.00153381 t=116978
bi ye dian li 	畢業典禮	c=3 d=1.97711e-78 t=116978
bi ye lun wen 	畢業論文	c=9 d=3.20309e-19 t=116978
bi ye lv xing 	畢業旅行	c=3 d=8.12471e-76 t=116978
bi ye she ji 	畢業設計	c=2 d=2.17725e-36 t=116978
bi ye sheng 	畢業生	c=54 d=0.00177315 t=116978
bi ye zheng 	畢業證	c=11 d=3.72166e-67 t=116978
bi zhi 	壁紙	c=1 d=1.3969e-50 t=116978
bi zhi 	比值	c=2 d=2.01609e-43 t=116978
bi zhong 	比重	c=1 d=5.76796e-86 t=116978
bi zuo 	必做	c=1 d=1.76396e-177 t=116978
bi zuo 	比作	c=1 d=8.70338e-73 t=116978
bian 	便	c=2 d=2.63474e-162 t=116978
bian 	卞	c=2 d=1.03434e-43 t=116978
bian 	編	c=0 d=3.96831e-99 t=116978
bian 	變	c=13 d=0.173774 t=116978
bian 	遍	c=4 d=1.21382e-15 t=116978
bian 	邊	c=13 d=0.00288184 t=116978
bian bie 	辨別	c=1 d=4.59861e-97 t=116978
bian bu chu lai 	編不出來	c=1 d=3.9882e-98 t=116978
bian ce 	鞭策	c=0 d=5.18017e-146 t=116978
